"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C3","2","1uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C2","1","10uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C6","1","100n","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C7,C9,C10","3",".1uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"D1,D2,D3","3","LED","","","","LED_SMD:LED_0805_2012Metric","~"
"D5,D6","2","BAT60A","","","","Diode_SMD:D_SOD-323","https://www.infineon.com/dgdl/Infineon-BAT60ASERIES-DS-v01_01-en.pdf?fileId=db3a304313d846880113def70c9304a9"
"H1,H2,H3,H4","4","MountingHole","","Excluded from BOM","","MountingHole:MountingHole_3.2mm_M3","~"
"J1","1","Conn_01x04_Pin","","","","Connector_JST:JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical","~"
"J2","1","Conn_01x04_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"J5","1","Conn_02x05_Odd_Even","","","","Connector_IDC:IDC-Header_2x05_P2.54mm_Vertical","~"
"J7","1","Conn_01x04_Pin","","","","Library:HW4-SMD-2.0","~"
"J8,J9","2","Conn_01x02","","","","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical","~"
"R1,R3,R4,R5,R8","5","R","","","","Resistor_SMD:R_0805_2012Metric","~"
"R2,R7","2","100K","","","","Resistor_SMD:R_0805_2012Metric","~"
"R6","1","100k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R9","1","1k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R10,R11","2","0","","","","Resistor_SMD:R_0805_2012Metric","~"
"SW1,SW2,SW3","3","~","","","","Button_Switch_THT:SW_PUSH_6mm","~"
"TP1,TP2,TP3,TP4","4","TestPoint","","","","TestPoint:TestPoint_THTPad_D1.0mm_Drill0.5mm","~"
"U1","1","STM32L053R8Tx","","","","Package_QFP:LQFP-64_10x10mm_P0.5mm","https://www.st.com/resource/en/datasheet/stm32l053r8.pdf"
"U2","1","MAX7375AXR805","","","","Package_TO_SOT_SMD:SOT-323_SC-70","https://datasheets.maximintegrated.com/en/ds/MAX7375.pdf"
"U4","1","PRMA2A05B","","","","Library:RELAY-TH_PRMAXXXX","https://atta.szlcsc.com/upload/public/pdf/source/20231220/54E81CE66D8E2E511893B3F42F7635F1.pdf"
"U5","1","TPS22810DBV","","","","Package_TO_SOT_SMD:SOT-23-6","http://www.ti.com/lit/ds/symlink/tps22810.pdf"
